🇨🇳第一线路,#genre#
凤凰资讯,http://171.109.225.104:8181/tsfile/live/1001_1.m3u8
凤凰卫视,http://171.109.225.104:8181/tsfile/live/1009_1.m3u8
凤凰香港,http://171.109.225.104:8181/tsfile/live/1005_1.m3u8
星空卫视,http://171.109.225.104:8181/tsfile/live/1006_1.m3u8
中国音乐,http://171.109.225.104:8181/tsfile/live/1007_1.m3u8
经典电影,http://171.109.225.104:8181/tsfile/live/1012_1.m3u8
热播剧场,http://171.109.225.104:8181/tsfile/live/1037_1.m3u8
中国电影,http://171.109.225.104:8181/tsfile/live/1069_1.m3u8
汽摩,http://171.109.225.104:8181/tsfile/live/1098_1.m3u8
国学,http://171.109.225.104:8181/tsfile/live/1101_1.m3u8
新科动漫,http://171.109.225.104:8181/tsfile/live/1104_1.m3u8
优漫卡通,http://171.109.225.104:8181/tsfile/live/1120_1.m3u8
动漫秀场,http://171.109.225.104:8181/tsfile/live/1055_1.m3u8
中国气象,http://171.109.225.104:8181/tsfile/live/1060_1.m3u8
野外,http://171.109.225.104:8181/tsfile/live/1086_1.m3u8
宁夏卫视,http://171.109.225.104:8181/tsfile/live/1081_1.m3u8
新疆少儿,http://171.109.225.104:8181/tsfile/live/1033_1.m3u8
炫动卡通,http://171.109.225.104:8181/tsfile/live/1080_1.m3u8
金鹰卡通,http://171.109.225.104:8181/tsfile/live/1079_1.m3u8
青海卫视,http://171.109.225.104:8181/tsfile/live/0140_1.m3u8
陕西卫视,http://171.109.225.104:8181/tsfile/live/0136_1.m3u8
重庆卫视,http://171.109.225.104:8181/tsfile/live/0142_1.m3u8
山东教育,http://171.109.225.104:8181/tsfile/live/1078_1.m3u8
卡酷少儿,http://171.109.225.104:8181/tsfile/live/1077_1.m3u8
甘肃卫视,http://171.109.225.104:8181/tsfile/live/0141_1.m3u8
四川卫视,http://171.109.225.104:8181/tsfile/live/0123_1.m3u8
山西卫视,http://171.109.225.104:8181/tsfile/live/0118_1.m3u8
本港台,http://171.109.225.104:8181/tsfile/live/1068_1.m3u8
吉林卫视 ,http://171.109.225.104:8181/tsfile/live/1024_1.m3u8
广西卫视,http://171.109.225.104:8181/tsfile/live/0113_1.m3u8
广西移动,http://171.109.225.104:8181/tsfile/live/1008_1.m3u8
家庭影院,http://171.109.225.104:8181/tsfile/live/1076_1.m3u8
游戏风云,http://171.109.225.104:8181/tsfile/live/1010_1.m3u8
少儿动画,http://171.109.225.104:8181/tsfile/live/1011_1.m3u8
广西国际,http://171.109.225.104:8181/tsfile/live/1023_1.m3u8
南宁公共,http://171.109.225.104:8181/tsfile/live/1125_1.m3u8
南宁影视,http://171.109.225.104:8181/tsfile/live/1126_1.m3u8
南宁生活,http://171.109.225.104:8181/tsfile/live/1127_1.m3u8
央视新闻回放,http://171.109.225.104:8181/tsfile/live/1046_1.m3u8
广西新闻回放,http://171.109.225.104:8181/tsfile/live/1048_1.m3u8


🇨🇳第三线路,#genre#
CCTV-1 综合,http://101.75.215.122:8008/hls/1/index.m3u8
CCTV-2 财经,http://101.75.215.122:8008/hls/2/index.m3u8
CCTV-3 综艺,http://101.75.215.122:8008/hls/3/index.m3u8
CCTV-4 中文国际,http://101.75.215.122:8008/hls/4/index.m3u8
CCTV-5 体育,http://101.75.215.122:8008/hls/5/index.m3u8
CCTV-6 电影,http://101.75.215.122:8008/hls/6/index.m3u8
CCTV-7 国防军事,http://101.75.215.122:8008/hls/7/index.m3u8
CCTV-8 电视剧,http://101.75.215.122:8008/hls/8/index.m3u8
CCTV-9 纪录,http://101.75.215.122:8008/hls/9/index.m3u8
CCTV-10 科教,http://101.75.215.122:8008/hls/10/index.m3u8
CCTV-11 戏曲,http://101.75.215.122:8008/hls/11/index.m3u8
CCTV-12 社会与法,http://101.75.215.122:8008/hls/12/index.m3u8
CCTV-13 新闻,http://101.75.215.122:8008/hls/13/index.m3u8
CCTV-14 少儿,http://101.75.215.122:8008/hls/14/index.m3u8
CCTV-15 音乐,http://101.75.215.122:8008/hls/15/index.m3u8
CCTV-5+ 赛事,http://101.75.215.122:8008/hls/17/index.m3u8
CCTV 女性时尚,http://101.75.215.122:8008/hls/47/index.m3u8
CCTV 央视文化精品,http://101.75.215.122:8008/hls/48/index.m3u8
CCTV 第一剧场,http://101.75.215.122:8008/hls/36/index.m3u8
CCTV 风云剧场,http://101.75.215.122:8008/hls/37/index.m3u8
CCTV 风云音乐,http://101.75.215.122:8008/hls/38/index.m3u8
CCTV 风云足球,http://101.75.215.122:8008/hls/39/index.m3u8
CCTV 高尔夫球,http://101.75.215.122:8008/hls/40/index.m3u8
CCTV 世界地理,http://101.75.215.122:8008/hls/41/index.m3u8
河北卫视,http://101.75.215.122:8008/hls/18/index.m3u8
湖南卫视,http://101.75.215.122:8008/hls/19/index.m3u8
江苏卫视,http://101.75.215.122:8008/hls/20/index.m3u8
北京卫视,http://101.75.215.122:8008/hls/21/index.m3u8
天津卫视,http://101.75.215.122:8008/hls/22/index.m3u8
深圳卫视,http://101.75.215.122:8008/hls/23/index.m3u8
山东卫视,http://101.75.215.122:8008/hls/24/index.m3u8
广东卫视,http://101.75.215.122:8008/hls/25/index.m3u8
浙江卫视,http://101.75.215.122:8008/hls/26/index.m3u8
黑龙江卫视,http://101.75.215.122:8008/hls/27/index.m3u8
辽宁卫视,http://101.75.215.122:8008/hls/28/index.m3u8
安徽卫视,http://101.75.215.122:8008/hls/29/index.m3u8
湖北卫视,http://101.75.215.122:8008/hls/30/index.m3u8
四川卫视,http://101.75.215.122:8008/hls/31/index.m3u8
东方卫视,http://101.75.215.122:8008/hls/32/index.m3u8
重庆卫视,http://101.75.215.122:8008/hls/33/index.m3u8
东南卫视,http://101.75.215.122:8008/hls/34/index.m3u8
广西卫视,http://101.75.215.122:8008/hls/35/index.m3u8
生活时尚,http://101.75.215.122:8008/hls/42/index.m3u8
都市剧场,http://101.75.215.122:8008/hls/43/index.m3u8
求索,http://101.75.215.122:8008/hls/46/index.m3u8
CGTN,http://101.75.215.122:8008/hls/16/index.m3u8
